Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP
1736948270.0;;;;;;;;;;;;;;48.847131;2.358906;37.2;;;;
1736948271.0;;;;;;;;;;;;;;48.847157;2.358927;37.2;;;;
1736948272.0;;;;;;;;;;;;;;48.847183;2.358944;37.2;;;;
1736948273.0;;;;;;;;;;;;;;48.847208;2.358968;37.2;;;;
1736948274.0;;;;;;;;;;;;;;48.847223;2.358987;37.2;;;;
1736948275.0;;;;;;;;;;;;;;48.847242;2.359013;37.2;;;;
1736948276.0;;;;;;;;;;;;;;48.847259;2.359045;37.2;;;;
1736948277.0;;;;;;;;;;;;;;48.84728;2.359064;37.0;;;;
1736948278.0;;;;;;;;;;;;;;48.847305;2.359075;37.0;;;;
1736948279.0;;;;;;;;;;;;;;48.847329;2.359071;37.0;;;;
1736948280.0;;;;;;;;;;;;;;48.847353;2.359052;37.0;;;;
1736948281.0;;;;;;;;;;;;;;48.847376;2.359032;37.0;;;;
1736948282.0;;;;;;;;;;;;;;48.847401;2.359016;36.8;;;;
1736948283.0;;;;;;;;;;;;;;48.847429;2.359012;36.8;;;;
1736948284.0;;;;;;;;;;;;;;48.847461;2.359023;36.8;;;;
1736948285.0;;;;;;;;;;;;;;48.847491;2.359046;36.6;;;;
1736948286.0;;;;;;;;;;;;;;48.847517;2.359074;36.6;;;;
1736948287.0;;;;;;;;;;;;;;48.847536;2.359089;36.4;;;;
1736948288.0;;;;;;;;;;;;;;48.847551;2.359099;36.6;;;;
1736948289.0;;;;;;;;;;;;;;48.847567;2.359096;36.6;;;;
1736948290.0;;;;;;;;;;;;;;48.847577;2.359102;36.6;;;;
1736948291.0;;;;;;;;;;;;;;48.847585;2.359104;36.4;;;;
1736948292.0;;;;;;;;;;;;;;48.847599;2.359124;36.4;;;;
1736948293.0;;;;;;;;;;;;;;48.847607;2.359152;36.4;;;;
1736948294.0;;;;;;;;;;;;;;48.847624;2.35918;36.2;;;;
1736948295.0;;;;;;;;;;;;;;48.847657;2.3592;36.2;;;;
1736948296.0;;;;;;;;;;;;;;48.847688;2.359236;36.0;;;;
1736948297.0;;;;;;;;;;;;;;48.847748;2.359287;36.0;;;;
1736948298.0;;;;;;;;;;;;;;48.847818;2.359357;35.8;;;;
1736948299.0;;;;;;;;;;;;;;48.847841;2.359394;35.8;;;;
1736948300.0;;;;;;;;;;;;;;48.847866;2.359425;35.6;;;;
1736948301.0;;;;;;;;;;;;;;48.847886;2.359448;35.6;;;;
1736948302.0;;;;;;;;;;;;;;48.847908;2.359459;35.6;;;;
1736948303.0;;;;;;;;;;;;;;48.847926;2.359456;35.8;;;;
1736948304.0;;;;;;;;;;;;;;48.847937;2.359439;35.8;;;;
1736948305.0;;;;;;;;;;;;;;48.847947;2.359421;35.8;;;;
1736948306.0;;;;;;;;;;;;;;48.847955;2.359404;36.0;;;;
1736948307.0;;;;;;;;;;;;;;48.847978;2.359379;36.0;;;;
1736948308.0;;;;;;;;;;;;;;48.847999;2.359354;36.0;;;;
1736948309.0;;;;;;;;;;;;;;48.84802;2.359322;36.0;;;;
1736948310.0;;;;;;;;;;;;;;48.848038;2.359292;36.0;;;;
1736948311.0;;;;;;;;;;;;;;48.848061;2.35926;36.0;;;;
1736948312.0;;;;;;;;;;;;;;48.848094;2.359217;36.0;;;;
1736948313.0;;;;;;;;;;;;;;48.848119;2.359182;35.8;;;;
1736948314.0;;;;;;;;;;;;;;48.84814;2.35915;36.0;;;;
1736948315.0;;;;;;;;;;;;;;48.848162;2.359128;35.8;;;;
1736948316.0;;;;;;;;;;;;;;48.84818;2.359098;35.8;;;;
1736948317.0;;;;;;;;;;;;;;48.848194;2.359073;35.8;;;;
1736948318.0;;;;;;;;;;;;;;48.848209;2.359049;35.8;;;;
1736948319.0;;;;;;;;;;;;;;48.848228;2.359032;36.0;;;;
1736948320.0;;;;;;;;;;;;;;48.848246;2.359012;36.0;;;;
1736948321.0;;;;;;;;;;;;;;48.84826;2.35899;36.0;;;;
1736948322.0;;;;;;;;;;;;;;48.84828;2.358972;36.0;;;;
1736948323.0;;;;;;;;;;;;;;48.848304;2.358946;36.0;;;;
1736948324.0;;;;;;;;;;;;;;48.848324;2.358926;36.0;;;;
1736948325.0;;;;;;;;;;;;;;48.848348;2.3589;36.0;;;;
1736948326.0;;;;;;;;;;;;;;48.848373;2.358868;36.0;;;;
1736948327.0;;;;;;;;;;;;;;48.848391;2.358833;36.0;;;;
1736948328.0;;;;;;;;;;;;;;48.848417;2.358803;36.0;;;;
1736948329.0;;;;;;;;;;;;;;48.848438;2.358774;35.8;;;;
1736948330.0;;;;;;;;;;;;;;48.848462;2.358746;36.0;;;;
1736948331.0;;;;;;;;;;;;;;48.848486;2.358717;35.8;;;;
1736948332.0;;;;;;;;;;;;;;48.84851;2.358685;36.0;;;;
1736948333.0;;;;;;;;;;;;;;48.84853;2.358657;36.0;;;;
1736948334.0;;;;;;;;;;;;;;48.848548;2.358632;36.0;;;;
1736948335.0;;;;;;;;;;;;;;48.848562;2.35861;36.0;;;;
1736948336.0;;;;;;;;;;;;;;48.848583;2.358578;36.0;;;;
1736948337.0;;;;;;;;;;;;;;48.848596;2.358546;36.0;;;;
1736948338.0;;;;;;;;;;;;;;48.848617;2.358511;36.0;;;;
1736948339.0;;;;;;;;;;;;;;48.848642;2.358486;36.0;;;;
1736948340.0;;;;;;;;;;;;;;48.84866;2.358455;36.0;;;;
1736948341.0;;;;;;;;;;;;;;48.848673;2.358419;36.0;;;;
1736948342.0;;;;;;;;;;;;;;48.848692;2.358386;36.0;;;;
1736948343.0;;;;;;;;;;;;;;48.84871;2.358354;36.2;;;;
1736948344.0;;;;;;;;;;;;;;48.848726;2.358327;36.0;;;;
1736948345.0;;;;;;;;;;;;;;48.848751;2.358289;36.0;;;;
1736948346.0;;;;;;;;;;;;;;48.848774;2.358254;36.0;;;;
1736948347.0;;;;;;;;;;;;;;48.848799;2.358217;36.0;;;;
1736948348.0;;;;;;;;;;;;;;48.848819;2.358189;36.2;;;;
1736948349.0;;;;;;;;;;;;;;48.848839;2.358159;36.0;;;;
1736948350.0;;;;;;;;;;;;;;48.848858;2.358134;36.0;;;;
1736948351.0;;;;;;;;;;;;;;48.848878;2.358105;36.0;;;;
1736948352.0;;;;;;;;;;;;;;48.848898;2.358077;36.0;;;;
1736948353.0;;;;;;;;;;;;;;48.848915;2.358047;36.2;;;;
1736948354.0;;;;;;;;;;;;;;48.848935;2.35802;36.2;;;;
1736948355.0;;;;;;;;;;;;;;48.848954;2.357995;36.2;;;;
1736948356.0;;;;;;;;;;;;;;48.848973;2.357975;36.2;;;;
1736948357.0;;;;;;;;;;;;;;48.848997;2.35795;36.2;;;;
1736948358.0;;;;;;;;;;;;;;48.849015;2.357926;36.2;;;;
1736948359.0;;;;;;;;;;;;;;48.84903;2.357902;36.2;;;;
1736948360.0;;;;;;;;;;;;;;48.849052;2.357877;36.2;;;;
1736948361.0;;;;;;;;;;;;;;48.849072;2.357854;36.2;;;;
1736948362.0;;;;;;;;;;;;;;48.849088;2.357832;36.2;;;;
1736948363.0;;;;;;;;;;;;;;48.849103;2.357805;36.2;;;;
1736948364.0;;;;;;;;;;;;;;48.849125;2.357779;36.2;;;;
1736948365.0;;;;;;;;;;;;;;48.849145;2.357756;36.0;;;;
1736948366.0;;;;;;;;;;;;;;48.849166;2.357729;36.2;;;;
1736948367.0;;;;;;;;;;;;;;48.849187;2.3577;36.2;;;;
1736948368.0;;;;;;;;;;;;;;48.849204;2.357665;36.2;;;;
1736948369.0;;;;;;;;;;;;;;48.849221;2.357638;36.4;;;;
1736948370.0;;;;;;;;;;;;;;48.849236;2.357603;36.4;;;;
1736948371.0;;;;;;;;;;;;;;48.849254;2.35757;36.6;;;;
1736948372.0;;;;;;;;;;;;;;48.84927;2.357534;36.6;;;;
1736948373.0;;;;;;;;;;;;;;48.849288;2.357496;36.6;;;;
1736948374.0;;;;;;;;;;;;;;48.849302;2.357462;36.8;;;;
1736948375.0;;;;;;;;;;;;;;48.849316;2.357421;36.8;;;;
1736948376.0;;;;;;;;;;;;;;48.849334;2.357377;36.8;;;;
1736948377.0;;;;;;;;;;;;;;48.849345;2.357336;37.0;;;;
1736948378.0;;;;;;;;;;;;;;48.849356;2.357292;37.0;;;;
1736948379.0;;;;;;;;;;;;;;48.849364;2.357263;37.0;;;;
1736948380.0;;;;;;;;;;;;;;48.849373;2.357226;37.2;;;;
1736948381.0;;;;;;;;;;;;;;48.849383;2.357191;37.2;;;;
1736948382.0;;;;;;;;;;;;;;48.849387;2.357152;37.4;;;;
1736948383.0;;;;;;;;;;;;;;48.849392;2.357112;37.6;;;;
1736948384.0;;;;;;;;;;;;;;48.849402;2.357073;37.6;;;;
1736948385.0;;;;;;;;;;;;;;48.849424;2.357034;37.4;;;;
1736948394.0;;;;;;;;;;;;;;48.849446;2.356923;37.8;;;;
1736948395.0;;;;;;;;;;;;;;48.849453;2.356896;37.8;;;;
1736948396.0;;;;;;;;;;;;;;48.849462;2.356868;37.8;;;;
1736948397.0;;;;;;;;;;;;;;48.84947;2.356823;37.6;;;;
