Timer;Latitude;Longitude;Altitude;Vitesse;Allure
1736948126.0;48.845556;2.357192;36.8;0;0
1736948127.0;48.84553;2.357216;36.8;12.188591357553294;4.922636114370827
1736948128.0;48.845531;2.357249;36.6;8.72884464350728;6.8737619296076495
1736948129.0;48.845538;2.357291;36.4;11.446112391109972;5.241954468890339
1736948130.0;48.845544;2.357327;36.2;9.810952282503436;6.1156142923049615
1736948131.0;48.845547;2.357362;36.2;9.3257820801321;6.433776758286646
1736948132.0;48.845554;2.357391;36.2;8.159098955728403;7.3537531932830325
1736948133.0;48.845555;2.357423;36.0;8.464895250724041;7.088097161612003
1736948134.0;48.845562;2.357452;36.0;8.1590978140452;7.353754222276273
1736948135.0;48.845585;2.357485;36.2;12.681407093687136;4.731336164570277
1736948136.0;48.845602;2.357523;36.4;12.130022063991538;4.946404852643462
1736948137.0;48.845622;2.357555;36.2;11.644922962317438;5.152460020058347
1736948138.0;48.845645;2.357594;36.2;13.81953025602313;4.341681583123962
1736948139.0;48.845666;2.35762;36.2;10.857193670683104;5.52628992536199
1736948140.0;48.845692;2.357648;36.2;12.770423991322646;4.698356142346511
1736948141.0;48.845719;2.357664;36.2;11.606649541313685;5.169450476335221
1736948142.0;48.845743;2.35768;36.2;10.497244248300735;5.715785836812612
1736948143.0;48.845766;2.357698;36.2;10.363724821967415;5.789424268851805
1736948144.0;48.845784;2.357722;36.4;9.599187507550505;6.250529011211142
1736948145.0;48.845804;2.357742;36.4;9.593610827773157;6.254162387565501
1736948146.0;48.845817;2.357771;36.4;9.26301006628073;6.477376098123049
1736948147.0;48.84583;2.357804;36.4;10.154710013466735;5.908588223635201
1736948148.0;48.845841;2.357843;36.6;11.206522227030522;5.354024985135702
1736948149.0;48.845845;2.357892;36.6;13.045948673562545;4.599128932768934
1736948150.0;48.845846;2.357929;36.4;9.784719584059577;6.132010169994738
1736948151.0;48.845852;2.357956;36.2;7.527750832809796;7.970508234476791
1736948152.0;48.845873;2.357984;36.0;11.199043673618945;5.357600322725694
1736948153.0;48.845886;2.358006;36.0;7.802454852744826;7.689887494689264
1736948154.0;48.845898;2.358025;36.0;6.948656844952497;8.634762276911687
1736948155.0;48.845917;2.358063;36.0;12.596667027063981;4.763164722151487
1736948156.0;48.845937;2.358095;36.0;11.644884761293973;5.152476922694152
1736948157.0;48.845952;2.358137;36.0;12.618239919166625;4.755021332956452
1736948158.0;48.845975;2.358173;36.0;13.238924325051965;4.5320902610238685
1736948159.0;48.846001;2.358209;36.2;14.100692819919102;4.255110069147952
1736948160.0;48.846035;2.35826;36.2;19.153934472508904;3.132515676406656
1736948161.0;48.846063;2.358295;36.2;14.532104600772781;4.128789438854531
1736948162.0;48.846096;2.358348;36.2;19.25243497880169;3.1164889047055238
1736948163.0;48.846124;2.358382;36.2;14.365391986237237;4.176704684249688
1736948164.0;48.846148;2.358416;36.2;13.153976004409026;4.561358480499649
1736948165.0;48.846172;2.358455;36.4;14.089363288483096;4.25853168603049
1736948166.0;48.846195;2.358491;36.2;13.238894633016216;4.532100425542114
1736948167.0;48.846216;2.358523;36.4;11.923667772126445;5.032008702914381
1736948168.0;48.846239;2.358555;36.4;12.501121639376514;4.799569329124012
1736948169.0;48.846259;2.358583;36.4;10.901671775628685;5.5037430253709765
1736948170.0;48.846278;2.358611;36.4;10.611110106212168;5.654450797270834
1736948171.0;48.846303;2.358637;36.4;12.139529808864406;4.942530801826229
1736948172.0;48.846321;2.358662;36.4;9.775712529820309;6.137660023959694
1736948173.0;48.84634;2.358684;36.4;9.57343259152351;6.267344489700077
1736948174.0;48.846356;2.35869;36.4;6.598783078315708;9.09258560069451
1736948175.0;48.846371;2.358672;36.4;7.660449252543785;7.8324388063893196
1736948176.0;48.846383;2.358624;36.4;13.562312199391956;4.424024393325055
1736948177.0;48.846404;2.358585;36.4;13.299322286992865;4.511508083286454
1736948178.0;48.846422;2.358554;36.2;10.909748221551228;5.499668624934477
1736948179.0;48.84644;2.358516;36.0;12.358953525683877;4.854779967843591
1736948180.0;48.846469;2.358469;36.0;17.00045241340864;3.5293178405462107
1736948181.0;48.846506;2.358429;36.0;18.196779646496275;3.2972867268606394
1736948182.0;48.846545;2.358399;36.0;17.510380694190008;3.4265388655946336
1736948183.0;48.846583;2.358397;36.0;15.222260956357744;3.9415958097171067
1736948248.0;48.846644;2.358417;36.8;0.38440355721784963;156.08596453751528
1736948249.0;48.846669;2.358434;36.8;10.970365677290664;5.469279854928056
1736948250.0;48.846684;2.35845;36.6;7.344028646984267;8.169902771912286
1736948251.0;48.846691;2.358482;36.6;8.907550455128687;6.7358585620420355
1736948252.0;48.846716;2.358513;36.6;12.93308908244892;4.639262871963364
1736948253.0;48.846745;2.358549;36.6;15.009076127210157;3.997581162988786
1736948254.0;48.84677;2.358572;36.8;11.709162657108605;5.124192203750295
1736948255.0;48.846793;2.358603;37.0;12.323884488032553;4.868594805336309
1736948256.0;48.846808;2.358639;37.0;11.249103958060397;5.333758157422644
1736948257.0;48.846821;2.358669;37.0;9.482621157128865;6.32736444974321
1736948258.0;48.84684;2.358697;37.2;10.611052920577396;5.654481270529289
1736948259.0;48.846861;2.358731;37.2;12.303966972874232;4.876476028607534
1736948260.0;48.846877;2.358758;37.2;9.587784047549992;6.257963227210157
1736948261.0;48.846897;2.358793;37.4;12.232473569059275;4.904976876611737
1736948262.0;48.846924;2.358832;37.4;14.934161442707447;4.017634349955338
1736948263.0;48.846946;2.358844;37.4;9.360914271366248;6.409630326765385
1736948264.0;48.846966;2.358835;37.4;8.352558529848748;7.183427662982986
1736948265.0;48.846998;2.358823;37.4;13.197557906718197;4.546295642276143
1736948266.0;48.847028;2.358816;37.4;12.151912255649417;4.937494506027726
1736948267.0;48.847056;2.358831;37.4;11.889673250406195;5.046396039348699
1736948268.0;48.847082;2.358852;37.2;11.795526254186223;5.0866742786237324
1736948269.0;48.84711;2.358879;37.2;13.287237422352455;4.515611341381241
1736948270.0;48.847131;2.358906;37.2;11.02615474447707;5.441606923760399
1736948271.0;48.847157;2.358927;37.2;11.795522484792762;5.086675904128392
1736948272.0;48.847183;2.358944;37.2;11.336780214946911;5.2925080016011385
1736948273.0;48.847208;2.358968;37.2;11.848422586631063;5.063965229236492
1736948274.0;48.847223;2.358987;37.2;7.82718600469828;7.665590157686927
1736948275.0;48.847242;2.359013;37.2;10.249569667580413;5.853904304858882
1736948276.0;48.847259;2.359045;37.2;10.853985765422562;5.527923225322574
1736948277.0;48.84728;2.359064;37.0;9.792054188276897;6.1274170716735155
1736948278.0;48.847305;2.359075;37.0;10.4220790973966;5.75700869656495
1736948279.0;48.847329;2.359071;37.0;9.666218889925817;6.207184079240364
1736948280.0;48.847353;2.359052;37.0;10.840731850343973;5.534681682777369
1736948281.0;48.847376;2.359032;37.0;10.616553837827494;5.651551427753889
1736948282.0;48.847401;2.359016;36.8;10.86482936371626;5.522406104266446
1736948283.0;48.847429;2.359012;36.8;11.259357039256205;5.328901090071802
1736948284.0;48.847461;2.359023;36.8;13.13657758574721;4.567399660098547
1736948285.0;48.847491;2.359046;36.6;13.46028463299225;4.4575580410042095
1736948286.0;48.847517;2.359074;36.6;12.770270943114502;4.698412450861186
1736948287.0;48.847536;2.359089;36.4;8.577146769221297;6.995333251764711
1736948288.0;48.847551;2.359099;36.6;6.560740990500087;9.145308447152484
1736948289.0;48.847567;2.359096;36.6;6.454369399336036;9.296028207832702
1736948290.0;48.847577;2.359102;36.6;4.305906498646139;13.934348091131373
1736948291.0;48.847585;2.359104;36.4;3.246058163383165;18.483957150498416
1736948292.0;48.847599;2.359124;36.4;7.70319254346393;7.788978356890391
1736948293.0;48.847607;2.359152;36.4;8.06169371046642;7.4426047620864795
1736948294.0;48.847624;2.35918;36.2;10.052507217992975;5.968660225640629
1736948295.0;48.847657;2.3592;36.2;14.229029690534723;4.216731660902537
1736948296.0;48.847688;2.359236;36.0;15.636562779855753;3.8371604325534197
1736948297.0;48.847748;2.359287;36.0;27.542235660099845;2.178472392018684
1736948298.0;48.847818;2.359357;35.8;33.57724251742997;1.786924580505798
1736948299.0;48.847841;2.359394;35.8;13.429770660876523;4.4676861217586845
1736948300.0;48.847866;2.359425;35.6;12.932971848131212;4.639304925779289
1736948301.0;48.847886;2.359448;35.6;10.051908163667475;5.969015934394369
1736948302.0;48.847908;2.359459;35.6;9.274733438229966;6.469188618692063
1736948303.0;48.847926;2.359456;35.8;7.249663885038092;8.276245761383286
1736948304.0;48.847937;2.359439;35.8;6.2903896878999355;9.53835978006494
1736948305.0;48.847947;2.359421;35.8;6.216640662315505;9.651514903171494
1736948306.0;48.847955;2.359404;36.0;5.516636048404009;10.876193294889973
1736948307.0;48.847978;2.359379;36.0;11.332176509999588;5.294658086825209
1736948308.0;48.847999;2.359354;36.0;10.691769130464408;5.611793452314644
1736948309.0;48.84802;2.359322;36.0;11.923454272020814;5.032098805527692
1736948310.0;48.848038;2.359292;36.0;10.712600390716023;5.6008810010311265
1736948311.0;48.848061;2.35926;36.0;12.500916324134545;4.79964815732449
1736948312.0;48.848094;2.359217;36.0;17.424744316296167;3.443379076953578
1736948313.0;48.848119;2.359182;35.8;13.626859972558032;4.403068654174834
1736948314.0;48.84814;2.35915;36.0;11.923440068528725;5.032104799886297
1736948315.0;48.848162;2.359128;35.8;10.552824656873456;5.685681507170663
1736948316.0;48.84818;2.359098;35.8;10.712583930800744;5.600889606800506
1736948317.0;48.848194;2.359073;35.8;8.662911920292052;6.926077576692853
1736948318.0;48.848209;2.359049;35.8;8.7334566753124;6.870131979884559
1736948319.0;48.848228;2.359032;36.0;8.833738725819712;6.792141115134962
1736948320.0;48.848246;2.359012;36.0;8.936092762722982;6.714343907696518
1736948321.0;48.84826;2.35899;36.0;8.074811075384941;7.430514403352736
1736948322.0;48.84828;2.358972;36.0;9.312842528065019;6.442716047134379
1736948323.0;48.848304;2.358946;36.0;11.811476752773805;5.07980511293049
1736948324.0;48.848324;2.358926;36.0;9.593467705388738;6.254255691745067
1736948325.0;48.848348;2.3589;36.0;11.811473313448213;5.079806592094289
1736948326.0;48.848373;2.358868;36.0;13.101851005951096;4.579505596022037
1736948327.0;48.848391;2.358833;36.0;11.723796236586306;5.117796214570733
1736948328.0;48.848417;2.358803;36.0;13.083421678643873;4.585956294440793
1736948329.0;48.848438;2.358774;35.8;11.375071540262182;5.274692100847839
1736948330.0;48.848462;2.358746;36.0;12.126426642939414;4.947871435393943
1736948331.0;48.848486;2.358717;35.8;12.289400527938668;4.882256043620376
1736948332.0;48.84851;2.358685;36.0;12.798617249092834;4.6880064332147136
1736948333.0;48.84853;2.358657;36.0;10.901447066736674;5.503856472694948
1736948334.0;48.848548;2.358632;36.0;9.775516662260797;6.137783001448408
1736948335.0;48.848562;2.35861;36.0;8.07478611970396;7.430537367867736
1736948336.0;48.848583;2.358578;36.0;11.923387633926513;5.0321269292023585
1736948337.0;48.848596;2.358546;36.0;9.928349863032787;6.043300329635237
1736948338.0;48.848617;2.358511;36.0;12.497955672597943;4.800785150130704
1736948339.0;48.848642;2.358486;36.0;11.991812226844752;5.0034139015022765
1736948340.0;48.84866;2.358455;36.0;10.909476035699196;5.499805838856179
1736948341.0;48.848673;2.358419;36.0;10.84251814004817;5.5337698517084
1736948342.0;48.848692;2.358386;36.0;11.570758149155495;5.185485620436995
1736948343.0;48.84871;2.358354;36.2;11.109210186301567;5.400924007539635
1736948344.0;48.848726;2.358327;36.0;9.587589987821104;6.258089892894525
1736948345.0;48.848751;2.358289;36.0;14.176653419531767;4.232310561908461
