Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
143463;18780;2356;-312;-12048;-162;884;14748;-1296;32767;34;395;55;;;;;;;;
145917;18836;2144;-240;-12010;-178;994;14644;-1232;32767;34;403;40;;;;;;;;
147938;19004;2180;-424;-12082;-148;933;14784;-1252;32767;48;416;39;;;;;;;;
149959;18904;1904;-344;-12121;-154;889;14728;-1224;32767;39;374;39;;;;;;;;
152333;18904;2112;-372;-12057;-151;839;14700;-1144;32767;29;387;33;;;;;;;;
154358;18992;2572;-304;-11966;-61;892;15484;-1140;32767;21;354;38;;;;;;;;
156380;18840;2088;-328;-12132;-184;886;14740;-1256;32767;34;393;36;;;;;;;;
158671;18920;2460;-244;-11976;-166;876;14764;-1240;32767;45;397;25;;;;;;;;
160693;18816;2092;-368;-12105;-190;927;14736;-1268;32767;27;391;22;;;;;;;;
162713;18808;2096;-348;-12040;-165;848;14692;-1284;32767;45;403;20;;;;;;;;
165423;18972;2140;-316;-12185;-137;986;14696;-1272;32767;20;393;29;;;;;;;;
167444;18844;2120;-264;-12143;-183;817;14688;-1268;32767;36;377;22;;;;;;;;
169469;18892;2080;-332;-12129;-169;811;14632;-1236;32767;32;395;38;;;;;;;;
171934;18944;1976;-380;-12153;-159;881;14696;-1228;32767;31;391;47;;;;;;;;
173954;19020;2208;-340;-12055;-163;962;14736;-1256;32767;28;385;42;;;;;;;;
175976;18812;2280;-320;-12165;-196;944;14784;-1264;32767;34;408;37;;;;;;;;
178107;18776;2012;-264;-11994;-162;845;14680;-1236;32767;36;397;20;;;;;;;;
180129;18908;2404;-332;-12135;-186;927;14704;-1292;32767;45;401;24;;;;;;;;
182163;18780;2152;-380;-12077;-193;928;14676;-1216;32767;38;418;34;;;;;;;;
184537;18804;2332;-244;-12100;-174;922;14752;-1220;32767;44;379;40;;;;;;;;
186559;18880;2228;-372;-12078;-139;987;14688;-1276;32767;29;380;36;;;;;;;;
188579;18840;2100;-320;-12164;-180;973;14740;-1332;32767;47;370;9;;;;;;;;
191035;18864;2312;-380;-12262;-159;890;14688;-1212;32767;24;402;24;;;;;;;;
193055;18892;2036;-240;-12211;-166;963;14704;-1288;32767;39;370;28;;;;;;;;
195077;18856;2500;-316;-12039;-167;907;14720;-1224;32767;36;404;25;;;;;;;;
197213;18928;2184;-296;-12016;-168;911;14676;-1256;32767;22;395;45;;;;;;;;
199234;19004;2404;-232;-12149;-174;995;14688;-1212;32767;35;405;21;;;;;;;;
201255;18868;2084;-340;-12146;-177;904;14724;-1284;32767;49;397;23;;;;;;;;
203546;18808;2268;-324;-12120;-147;927;14696;-1232;32767;31;394;22;;;;;;;;
205568;18724;2216;-404;-12164;-167;895;14720;-1276;32767;74;408;25;;;;;;;;
